,location_name,datetimeUtc,O3,pm25,No2,unit,AQI_O3,AQI_PM25,AQI_NO2,AQI
0,Sofienbergparken,2024-03-01 01:00:00+00:00,50.0,-0.4,5.6,µg/m³,22.0,,5.0,22.0
1,Sofienbergparken,2024-03-01 02:00:00+00:00,50.0,-1.5,5.2,µg/m³,22.0,,5.0,22.0
2,Sofienbergparken,2024-03-01 03:00:00+00:00,52.0,2.6,4.3,µg/m³,22.0,11.0,4.0,22.0
3,Sofienbergparken,2024-03-01 04:00:00+00:00,52.0,3.6,4.8,µg/m³,22.0,15.0,5.0,22.0
4,Sofienbergparken,2024-03-01 05:00:00+00:00,51.0,7.3,5.5,µg/m³,22.0,30.0,5.0,30.0
5,Sofienbergparken,2024-03-01 06:00:00+00:00,47.0,6.6,6.6,µg/m³,20.0,28.0,6.0,28.0
6,Sofienbergparken,2024-03-01 07:00:00+00:00,31.0,5.5,20.0,µg/m³,13.0,23.0,19.0,23.0
7,Sofienbergparken,2024-03-01 08:00:00+00:00,40.0,14.0,13.0,µg/m³,17.0,55.0,12.0,55.0
8,Sofienbergparken,2024-03-01 09:00:00+00:00,41.0,22.0,10.0,µg/m³,18.0,72.0,9.0,72.0
9,Sofienbergparken,2024-03-01 10:00:00+00:00,43.0,16.0,7.1,µg/m³,19.0,59.0,7.0,59.0
10,Sofienbergparken,2024-03-01 12:00:00+00:00,30.0,21.0,21.0,µg/m³,13.0,70.0,20.0,70.0
11,Sofienbergparken,2024-03-01 13:00:00+00:00,45.0,15.0,11.0,µg/m³,19.0,57.0,10.0,57.0
12,Sofienbergparken,2024-03-01 14:00:00+00:00,41.0,13.0,16.0,µg/m³,18.0,53.0,15.0,53.0
13,Sofienbergparken,2024-03-01 15:00:00+00:00,35.0,14.0,19.0,µg/m³,15.0,55.0,18.0,55.0
14,Sofienbergparken,2024-03-01 17:00:00+00:00,33.0,14.0,14.0,µg/m³,14.0,55.0,13.0,55.0
15,Sofienbergparken,2024-03-01 18:00:00+00:00,34.0,13.0,11.0,µg/m³,15.0,53.0,10.0,53.0
16,Sofienbergparken,2024-03-01 19:00:00+00:00,30.0,15.0,10.0,µg/m³,13.0,57.0,9.0,57.0
17,Sofienbergparken,2024-03-01 20:00:00+00:00,27.0,13.0,9.5,µg/m³,12.0,53.0,9.0,53.0
18,Sofienbergparken,2024-03-01 21:00:00+00:00,21.0,11.0,12.0,µg/m³,9.0,46.0,11.0,46.0
19,Sofienbergparken,2024-03-01 22:00:00+00:00,20.0,10.0,11.0,µg/m³,9.0,42.0,10.0,42.0
20,Sofienbergparken,2024-03-01 23:00:00+00:00,20.0,8.5,10.0,µg/m³,9.0,35.0,9.0,35.0
21,Sofienbergparken,2024-03-02 00:00:00+00:00,19.0,6.6,9.9,µg/m³,8.0,28.0,9.0,28.0
22,Sofienbergparken,2024-03-02 01:00:00+00:00,18.0,5.7,9.9,µg/m³,8.0,24.0,9.0,24.0
23,Sofienbergparken,2024-03-02 02:00:00+00:00,22.0,3.1,5.4,µg/m³,10.0,13.0,5.0,13.0
24,Sofienbergparken,2024-03-02 03:00:00+00:00,22.0,3.0,5.6,µg/m³,10.0,12.0,5.0,12.0
25,Sofienbergparken,2024-03-02 04:00:00+00:00,23.0,6.9,4.4,µg/m³,10.0,29.0,4.0,29.0
26,Sofienbergparken,2024-03-02 05:00:00+00:00,27.0,2.7,3.5,µg/m³,12.0,11.0,3.0,12.0
27,Sofienbergparken,2024-03-02 06:00:00+00:00,29.0,5.2,2.6,µg/m³,13.0,22.0,2.0,22.0
28,Sofienbergparken,2024-03-02 07:00:00+00:00,29.0,4.7,3.1,µg/m³,13.0,20.0,3.0,20.0
29,Sofienbergparken,2024-03-02 08:00:00+00:00,27.0,4.8,4.5,µg/m³,12.0,20.0,4.0,20.0
30,Sofienbergparken,2024-03-02 09:00:00+00:00,29.0,3.0,4.8,µg/m³,13.0,12.0,5.0,13.0
31,Sofienbergparken,2024-03-02 11:00:00+00:00,33.0,3.1,4.5,µg/m³,14.0,13.0,4.0,14.0
32,Sofienbergparken,2024-03-02 12:00:00+00:00,36.0,5.0,4.3,µg/m³,16.0,21.0,4.0,21.0
33,Sofienbergparken,2024-03-02 14:00:00+00:00,34.0,2.6,7.9,µg/m³,15.0,11.0,7.0,15.0
34,Sofienbergparken,2024-03-02 15:00:00+00:00,34.0,3.2,9.1,µg/m³,15.0,13.0,9.0,15.0
35,Sofienbergparken,2024-03-02 16:00:00+00:00,34.0,5.5,8.9,µg/m³,15.0,23.0,8.0,23.0
36,Sofienbergparken,2024-03-02 17:00:00+00:00,31.0,7.0,10.0,µg/m³,13.0,29.0,9.0,29.0
37,Sofienbergparken,2024-03-02 18:00:00+00:00,31.0,6.0,9.3,µg/m³,13.0,25.0,9.0,25.0
38,Sofienbergparken,2024-03-02 20:00:00+00:00,31.0,3.8,7.8,µg/m³,13.0,16.0,7.0,16.0
39,Sofienbergparken,2024-03-02 21:00:00+00:00,32.0,3.6,6.6,µg/m³,14.0,15.0,6.0,15.0
40,Sofienbergparken,2024-03-02 22:00:00+00:00,31.0,6.3,5.6,µg/m³,13.0,26.0,5.0,26.0
41,Sofienbergparken,2024-03-02 23:00:00+00:00,32.0,5.0,5.1,µg/m³,14.0,21.0,5.0,21.0
42,Sofienbergparken,2024-03-03 00:00:00+00:00,32.0,6.8,4.5,µg/m³,14.0,28.0,4.0,28.0
43,Sofienbergparken,2024-03-03 01:00:00+00:00,32.0,4.4,3.7,µg/m³,14.0,18.0,3.0,18.0
44,Sofienbergparken,2024-03-03 02:00:00+00:00,33.0,3.8,2.6,µg/m³,14.0,16.0,2.0,16.0
45,Sofienbergparken,2024-03-03 03:00:00+00:00,34.0,-0.54,2.1,µg/m³,15.0,,2.0,15.0
46,Sofienbergparken,2024-03-03 04:00:00+00:00,34.0,3.3,2.2,µg/m³,15.0,14.0,2.0,15.0
47,Sofienbergparken,2024-03-03 05:00:00+00:00,34.0,3.3,2.0,µg/m³,15.0,14.0,2.0,15.0
48,Sofienbergparken,2024-03-03 06:00:00+00:00,35.0,2.2,1.9,µg/m³,15.0,9.0,2.0,15.0
49,Sofienbergparken,2024-03-03 07:00:00+00:00,35.0,3.8,1.9,µg/m³,15.0,16.0,2.0,16.0
50,Sofienbergparken,2024-03-03 08:00:00+00:00,35.0,4.2,2.3,µg/m³,15.0,18.0,2.0,18.0
