location_name,datetimeUtc,o3,pm25,no2,unit
Sofienbergparken,2024-03-01 01:00:00+00:00,50.0,-0.4,5.6,µg/m³
Sofienbergparken,2024-03-01 02:00:00+00:00,50.0,-1.5,5.2,µg/m³
Sofienbergparken,2024-03-01 03:00:00+00:00,52.0,2.6,4.3,µg/m³
Sofienbergparken,2024-03-01 04:00:00+00:00,52.0,3.6,4.8,µg/m³
Sofienbergparken,2024-03-01 05:00:00+00:00,51.0,7.3,5.5,µg/m³
Sofienbergparken,2024-03-01 06:00:00+00:00,47.0,6.6,6.6,µg/m³
Sofienbergparken,2024-03-01 07:00:00+00:00,31.0,5.5,20.0,µg/m³
Sofienbergparken,2024-03-01 08:00:00+00:00,40.0,14.0,13.0,µg/m³
Sofienbergparken,2024-03-01 09:00:00+00:00,41.0,22.0,10.0,µg/m³
Sofienbergparken,2024-03-01 10:00:00+00:00,43.0,16.0,7.1,µg/m³
Sofienbergparken,2024-03-01 12:00:00+00:00,30.0,21.0,21.0,µg/m³
Sofienbergparken,2024-03-01 13:00:00+00:00,45.0,15.0,11.0,µg/m³
Sofienbergparken,2024-03-01 14:00:00+00:00,41.0,13.0,16.0,µg/m³
Sofienbergparken,2024-03-01 15:00:00+00:00,35.0,14.0,19.0,µg/m³
Sofienbergparken,2024-03-01 17:00:00+00:00,33.0,14.0,14.0,µg/m³
Sofienbergparken,2024-03-01 18:00:00+00:00,34.0,13.0,11.0,µg/m³
Sofienbergparken,2024-03-01 19:00:00+00:00,30.0,15.0,10.0,µg/m³
Sofienbergparken,2024-03-01 20:00:00+00:00,27.0,13.0,9.5,µg/m³
Sofienbergparken,2024-03-01 21:00:00+00:00,21.0,11.0,12.0,µg/m³
Sofienbergparken,2024-03-01 22:00:00+00:00,20.0,10.0,11.0,µg/m³
Sofienbergparken,2024-03-01 23:00:00+00:00,20.0,8.5,10.0,µg/m³
Sofienbergparken,2024-03-02 00:00:00+00:00,19.0,6.6,9.9,µg/m³
Sofienbergparken,2024-03-02 01:00:00+00:00,18.0,5.7,9.9,µg/m³
Sofienbergparken,2024-03-02 02:00:00+00:00,22.0,3.1,5.4,µg/m³
Sofienbergparken,2024-03-02 03:00:00+00:00,22.0,3.0,5.6,µg/m³
Sofienbergparken,2024-03-02 04:00:00+00:00,23.0,6.9,4.4,µg/m³
Sofienbergparken,2024-03-02 05:00:00+00:00,27.0,2.7,3.5,µg/m³
Sofienbergparken,2024-03-02 06:00:00+00:00,29.0,5.2,2.6,µg/m³
Sofienbergparken,2024-03-02 07:00:00+00:00,29.0,4.7,3.1,µg/m³
Sofienbergparken,2024-03-02 08:00:00+00:00,27.0,4.8,4.5,µg/m³
Sofienbergparken,2024-03-02 09:00:00+00:00,29.0,3.0,4.8,µg/m³
Sofienbergparken,2024-03-02 11:00:00+00:00,33.0,3.1,4.5,µg/m³
Sofienbergparken,2024-03-02 12:00:00+00:00,36.0,5.0,4.3,µg/m³
Sofienbergparken,2024-03-02 14:00:00+00:00,34.0,2.6,7.9,µg/m³
Sofienbergparken,2024-03-02 15:00:00+00:00,34.0,3.2,9.1,µg/m³
Sofienbergparken,2024-03-02 16:00:00+00:00,34.0,5.5,8.9,µg/m³
Sofienbergparken,2024-03-02 17:00:00+00:00,31.0,7.0,10.0,µg/m³
Sofienbergparken,2024-03-02 18:00:00+00:00,31.0,6.0,9.3,µg/m³
Sofienbergparken,2024-03-02 20:00:00+00:00,31.0,3.8,7.8,µg/m³
Sofienbergparken,2024-03-02 21:00:00+00:00,32.0,3.6,6.6,µg/m³
Sofienbergparken,2024-03-02 22:00:00+00:00,31.0,6.3,5.6,µg/m³
Sofienbergparken,2024-03-02 23:00:00+00:00,32.0,5.0,5.1,µg/m³
Sofienbergparken,2024-03-03 00:00:00+00:00,32.0,6.8,4.5,µg/m³
Sofienbergparken,2024-03-03 01:00:00+00:00,32.0,4.4,3.7,µg/m³
Sofienbergparken,2024-03-03 02:00:00+00:00,33.0,3.8,2.6,µg/m³
Sofienbergparken,2024-03-03 03:00:00+00:00,34.0,-0.54,2.1,µg/m³
Sofienbergparken,2024-03-03 04:00:00+00:00,34.0,3.3,2.2,µg/m³
Sofienbergparken,2024-03-03 05:00:00+00:00,34.0,3.3,2.0,µg/m³
Sofienbergparken,2024-03-03 06:00:00+00:00,35.0,2.2,1.9,µg/m³
Sofienbergparken,2024-03-03 07:00:00+00:00,35.0,3.8,1.9,µg/m³
Sofienbergparken,2024-03-03 08:00:00+00:00,35.0,4.2,2.3,µg/m³
Sofienbergparken,2024-03-03 09:00:00+00:00,35.0,7.0,2.7,µg/m³
Sofienbergparken,2024-03-03 10:00:00+00:00,35.0,5.9,3.3,µg/m³
Sofienbergparken,2024-03-03 11:00:00+00:00,35.0,11.0,3.9,µg/m³
Sofienbergparken,2024-03-03 12:00:00+00:00,34.0,10.0,5.3,µg/m³
Sofienbergparken,2024-03-03 13:00:00+00:00,33.0,10.0,5.8,µg/m³
Sofienbergparken,2024-03-03 14:00:00+00:00,31.0,8.0,7.4,µg/m³
Sofienbergparken,2024-03-03 15:00:00+00:00,33.0,7.8,7.2,µg/m³
Sofienbergparken,2024-03-03 16:00:00+00:00,33.0,5.0,7.8,µg/m³
Sofienbergparken,2024-03-03 17:00:00+00:00,35.0,4.1,7.6,µg/m³
Sofienbergparken,2024-03-03 18:00:00+00:00,38.0,8.8,6.2,µg/m³
Sofienbergparken,2024-03-03 19:00:00+00:00,39.0,8.6,5.4,µg/m³
Sofienbergparken,2024-03-03 20:00:00+00:00,40.0,11.0,5.9,µg/m³
Sofienbergparken,2024-03-03 21:00:00+00:00,44.0,18.0,4.6,µg/m³
Sofienbergparken,2024-03-03 22:00:00+00:00,46.0,15.0,4.5,µg/m³
Sofienbergparken,2024-03-03 23:00:00+00:00,48.0,15.0,2.9,µg/m³
Sofienbergparken,2024-03-04 00:00:00+00:00,49.0,17.0,2.4,µg/m³
Sofienbergparken,2024-03-04 01:00:00+00:00,49.0,14.0,2.4,µg/m³
Sofienbergparken,2024-03-04 02:00:00+00:00,52.0,12.0,1.7,µg/m³
Sofienbergparken,2024-03-04 03:00:00+00:00,53.0,11.0,1.8,µg/m³
Sofienbergparken,2024-03-04 04:00:00+00:00,53.0,15.0,2.0,µg/m³
Sofienbergparken,2024-03-04 05:00:00+00:00,53.0,14.0,2.3,µg/m³
Sofienbergparken,2024-03-04 07:00:00+00:00,47.0,13.0,9.3,µg/m³
Sofienbergparken,2024-03-04 08:00:00+00:00,44.0,14.0,13.0,µg/m³
Sofienbergparken,2024-03-04 09:00:00+00:00,48.0,14.0,9.4,µg/m³
Sofienbergparken,2024-03-04 11:00:00+00:00,49.0,12.0,8.6,µg/m³
Sofienbergparken,2024-03-04 12:00:00+00:00,49.0,13.0,8.1,µg/m³
Sofienbergparken,2024-03-04 13:00:00+00:00,48.0,10.0,11.0,µg/m³
Sofienbergparken,2024-03-04 15:00:00+00:00,54.0,11.0,8.6,µg/m³
Sofienbergparken,2024-03-04 16:00:00+00:00,55.0,9.9,7.3,µg/m³
Sofienbergparken,2024-03-04 17:00:00+00:00,57.0,11.0,6.1,µg/m³
Sofienbergparken,2024-03-04 18:00:00+00:00,55.0,7.2,7.9,µg/m³
Sofienbergparken,2024-03-04 19:00:00+00:00,58.0,11.0,7.0,µg/m³
Sofienbergparken,2024-03-04 20:00:00+00:00,62.0,17.0,4.9,µg/m³
Sofienbergparken,2024-03-04 22:00:00+00:00,61.0,9.1,3.6,µg/m³
Sofienbergparken,2024-03-05 00:00:00+00:00,57.0,7.4,2.8,µg/m³
Sofienbergparken,2024-03-05 01:00:00+00:00,55.0,9.8,2.3,µg/m³
Sofienbergparken,2024-03-05 02:00:00+00:00,55.0,8.4,2.0,µg/m³
Sofienbergparken,2024-03-05 03:00:00+00:00,52.0,9.0,2.4,µg/m³
Sofienbergparken,2024-03-05 04:00:00+00:00,51.0,7.4,1.8,µg/m³
Sofienbergparken,2024-03-05 05:00:00+00:00,49.0,8.2,1.8,µg/m³
Sofienbergparken,2024-03-05 06:00:00+00:00,50.0,6.9,3.4,µg/m³
Sofienbergparken,2024-03-05 07:00:00+00:00,48.0,6.6,8.7,µg/m³
Sofienbergparken,2024-03-05 08:00:00+00:00,54.0,10.0,12.0,µg/m³
Sofienbergparken,2024-03-05 09:00:00+00:00,62.0,11.0,8.3,µg/m³
Sofienbergparken,2024-03-05 14:00:00+00:00,71.0,8.1,6.2,µg/m³
Sofienbergparken,2024-03-05 16:00:00+00:00,68.0,5.7,5.7,µg/m³
Sofienbergparken,2024-03-05 18:00:00+00:00,65.0,10.0,5.7,µg/m³
Sofienbergparken,2024-03-05 19:00:00+00:00,62.0,7.0,7.4,µg/m³
Sofienbergparken,2024-03-05 20:00:00+00:00,62.0,7.6,6.1,µg/m³
Sofienbergparken,2024-03-05 21:00:00+00:00,62.0,5.2,4.9,µg/m³
Sofienbergparken,2024-03-05 22:00:00+00:00,66.0,4.1,3.0,µg/m³
Sofienbergparken,2024-03-05 23:00:00+00:00,71.0,9.3,1.4,µg/m³
Sofienbergparken,2024-03-06 00:00:00+00:00,71.0,6.9,1.2,µg/m³
Sofienbergparken,2024-03-06 01:00:00+00:00,71.0,6.1,1.0,µg/m³
Sofienbergparken,2024-03-06 02:00:00+00:00,69.0,2.3,1.3,µg/m³
Sofienbergparken,2024-03-06 03:00:00+00:00,69.0,2.7,1.1,µg/m³
Sofienbergparken,2024-03-06 04:00:00+00:00,70.0,0.93,1.1,µg/m³
Sofienbergparken,2024-03-06 05:00:00+00:00,70.0,3.2,1.6,µg/m³
Sofienbergparken,2024-03-06 06:00:00+00:00,68.0,3.0,4.4,µg/m³
Sofienbergparken,2024-03-06 07:00:00+00:00,62.0,0.41,8.4,µg/m³
Sofienbergparken,2024-03-06 08:00:00+00:00,61.0,6.2,7.6,µg/m³
Sofienbergparken,2024-03-06 09:00:00+00:00,,3.5,,µg/m³
Sofienbergparken,2024-03-06 10:00:00+00:00,,6.1,5.2,µg/m³
Sofienbergparken,2024-03-06 11:00:00+00:00,,3.1,6.5,µg/m³
Sofienbergparken,2024-03-06 12:00:00+00:00,,2.1,7.5,µg/m³
Sofienbergparken,2024-03-06 13:00:00+00:00,,4.2,4.2,µg/m³
Sofienbergparken,2024-03-06 15:00:00+00:00,70.0,1.8,4.9,µg/m³
Sofienbergparken,2024-03-06 16:00:00+00:00,69.0,4.6,6.0,µg/m³
Sofienbergparken,2024-03-06 17:00:00+00:00,67.0,4.4,6.3,µg/m³
Sofienbergparken,2024-03-06 18:00:00+00:00,46.0,11.0,25.0,µg/m³
Sofienbergparken,2024-03-06 20:00:00+00:00,35.0,9.1,21.0,µg/m³
Sofienbergparken,2024-03-06 21:00:00+00:00,34.0,11.0,20.0,µg/m³
Sofienbergparken,2024-03-06 22:00:00+00:00,27.0,11.0,25.0,µg/m³
Sofienbergparken,2024-03-06 23:00:00+00:00,36.0,9.5,13.0,µg/m³
Sofienbergparken,2024-03-07 00:00:00+00:00,40.0,8.4,7.6,µg/m³
Sofienbergparken,2024-03-07 01:00:00+00:00,39.0,4.3,5.7,µg/m³
Sofienbergparken,2024-03-07 02:00:00+00:00,30.0,3.9,13.0,µg/m³
Sofienbergparken,2024-03-07 03:00:00+00:00,38.0,4.9,6.8,µg/m³
Sofienbergparken,2024-03-07 04:00:00+00:00,39.0,2.8,5.3,µg/m³
Sofienbergparken,2024-03-07 05:00:00+00:00,35.0,4.7,6.5,µg/m³
