location_name,datetimeUtc,O3,No2,unit,AQI_O3,AQI_NO2,AQI
BARCELONA (CIUTADELLA),2024-03-01 01:00:00+00:00,58.0,18.0,µg/m³,25.0,17.0,25.0
BARCELONA (CIUTADELLA),2024-03-01 02:00:00+00:00,53.0,21.0,µg/m³,23.0,20.0,23.0
BARCELONA (CIUTADELLA),2024-03-01 03:00:00+00:00,67.0,9.0,µg/m³,29.0,8.0,29.0
BARCELONA (CIUTADELLA),2024-03-01 04:00:00+00:00,59.0,9.0,µg/m³,26.0,8.0,26.0
BARCELONA (CIUTADELLA),2024-03-01 05:00:00+00:00,56.0,12.0,µg/m³,24.0,11.0,24.0
BARCELONA (CIUTADELLA),2024-03-01 06:00:00+00:00,63.0,11.0,µg/m³,27.0,10.0,27.0
BARCELONA (CIUTADELLA),2024-03-01 07:00:00+00:00,60.0,15.0,µg/m³,26.0,14.0,26.0
BARCELONA (CIUTADELLA),2024-03-01 08:00:00+00:00,47.0,25.0,µg/m³,20.0,24.0,24.0
BARCELONA (CIUTADELLA),2024-03-01 09:00:00+00:00,51.0,21.0,µg/m³,22.0,20.0,22.0
BARCELONA (CIUTADELLA),2024-03-01 10:00:00+00:00,61.0,14.0,µg/m³,26.0,13.0,26.0
BARCELONA (CIUTADELLA),2024-03-01 11:00:00+00:00,64.0,12.0,µg/m³,28.0,11.0,28.0
BARCELONA (CIUTADELLA),2024-03-01 12:00:00+00:00,66.0,14.0,µg/m³,29.0,13.0,29.0
BARCELONA (CIUTADELLA),2024-03-01 13:00:00+00:00,73.0,10.0,µg/m³,32.0,9.0,32.0
BARCELONA (CIUTADELLA),2024-03-01 14:00:00+00:00,76.0,10.0,µg/m³,33.0,9.0,33.0
BARCELONA (CIUTADELLA),2024-03-01 15:00:00+00:00,76.0,12.0,µg/m³,33.0,11.0,33.0
BARCELONA (CIUTADELLA),2024-03-01 16:00:00+00:00,78.0,12.0,µg/m³,34.0,11.0,34.0
BARCELONA (CIUTADELLA),2024-03-01 17:00:00+00:00,75.0,15.0,µg/m³,32.0,14.0,32.0
BARCELONA (CIUTADELLA),2024-03-01 18:00:00+00:00,69.0,20.0,µg/m³,30.0,19.0,30.0
BARCELONA (CIUTADELLA),2024-03-01 19:00:00+00:00,64.0,24.0,µg/m³,28.0,23.0,28.0
BARCELONA (CIUTADELLA),2024-03-01 20:00:00+00:00,54.0,33.0,µg/m³,23.0,31.0,31.0
BARCELONA (CIUTADELLA),2024-03-01 21:00:00+00:00,41.0,48.0,µg/m³,18.0,45.0,45.0
BARCELONA (CIUTADELLA),2024-03-01 22:00:00+00:00,57.0,30.0,µg/m³,25.0,28.0,28.0
BARCELONA (CIUTADELLA),2024-03-01 23:00:00+00:00,55.0,28.0,µg/m³,24.0,26.0,26.0
BARCELONA (CIUTADELLA),2024-03-02 00:00:00+00:00,49.0,30.0,µg/m³,21.0,28.0,28.0
BARCELONA (CIUTADELLA),2024-03-02 01:00:00+00:00,44.0,33.0,µg/m³,19.0,31.0,31.0
BARCELONA (CIUTADELLA),2024-03-02 02:00:00+00:00,50.0,24.0,µg/m³,22.0,23.0,23.0
BARCELONA (CIUTADELLA),2024-03-02 03:00:00+00:00,56.0,19.0,µg/m³,24.0,18.0,24.0
BARCELONA (CIUTADELLA),2024-03-02 04:00:00+00:00,50.0,25.0,µg/m³,22.0,24.0,24.0
BARCELONA (CIUTADELLA),2024-03-02 05:00:00+00:00,44.0,24.0,µg/m³,19.0,23.0,23.0
BARCELONA (CIUTADELLA),2024-03-02 06:00:00+00:00,30.0,38.0,µg/m³,13.0,36.0,36.0
BARCELONA (CIUTADELLA),2024-03-02 07:00:00+00:00,33.0,43.0,µg/m³,14.0,41.0,41.0
