location_name,datetimeUtc,O3,Co,pm25,No2,unit,AQI_O3,AQI_PM25,AQI_NO2,AQI_CO,AQI
Los Angeles - N. Mai,2024-03-01 01:00:00+00:00,74.60122699386503,229.120654396728,6.7,9.97256237218814,µg/m³,32.0,28.0,9,2,32.0
Los Angeles - N. Mai,2024-03-01 02:00:00+00:00,70.67484662576686,229.120654396728,5.0,10.160723926380369,µg/m³,31.0,21.0,10,2,31.0
Los Angeles - N. Mai,2024-03-01 03:00:00+00:00,68.7116564417178,229.120654396728,3.5,11.854177914110428,µg/m³,30.0,15.0,11,2,30.0
Los Angeles - N. Mai,2024-03-01 04:00:00+00:00,68.7116564417178,229.120654396728,3.0,9.97256237218814,µg/m³,30.0,12.0,9,2,30.0
Los Angeles - N. Mai,2024-03-01 05:00:00+00:00,70.67484662576686,229.120654396728,4.2,8.467269938650306,µg/m³,31.0,18.0,8,2,31.0
Los Angeles - N. Mai,2024-03-01 06:00:00+00:00,70.67484662576686,229.120654396728,3.8,7.526462167689162,µg/m³,31.0,16.0,7,2,31.0
Los Angeles - N. Mai,2024-03-01 07:00:00+00:00,25.52147239263804,572.80163599182,4.2,39.5139263803681,µg/m³,11.0,18.0,37,6,37.0
Los Angeles - N. Mai,2024-03-01 08:00:00+00:00,25.52147239263804,458.241308793456,3.8,41.395541922290384,µg/m³,11.0,16.0,39,5,39.0
Los Angeles - N. Mai,2024-03-01 09:00:00+00:00,11.779141104294482,458.241308793456,3.8,47.040388548057265,µg/m³,5.0,16.0,44,5,44.0
Los Angeles - N. Mai,2024-03-01 10:00:00+00:00,9.815950920245399,458.241308793456,5.0,52.68523517382413,µg/m³,4.0,21.0,50,5,50.0
Los Angeles - N. Mai,2024-03-01 11:00:00+00:00,13.742331288343559,343.680981595092,4.2,48.92200408997955,µg/m³,6.0,18.0,46,3,46.0
Los Angeles - N. Mai,2024-03-01 12:00:00+00:00,23.558282208588963,343.680981595092,4.7,41.395541922290384,µg/m³,10.0,20.0,39,3,39.0
Los Angeles - N. Mai,2024-03-01 13:00:00+00:00,23.558282208588963,343.680981595092,8.3,39.5139263803681,µg/m³,10.0,35.0,37,3,37.0
Los Angeles - N. Mai,2024-03-01 14:00:00+00:00,23.558282208588963,458.241308793456,6.9,41.395541922290384,µg/m³,10.0,29.0,39,5,39.0
Los Angeles - N. Mai,2024-03-01 15:00:00+00:00,13.742331288343559,458.241308793456,7.1,52.68523517382413,µg/m³,6.0,30.0,50,5,50.0
Los Angeles - N. Mai,2024-03-01 16:00:00+00:00,35.33742331288343,458.241308793456,7.1,35.75069529652352,µg/m³,15.0,30.0,34,5,34.0
Los Angeles - N. Mai,2024-03-01 17:00:00+00:00,56.932515337423325,458.241308793456,5.2,17.4990245398773,µg/m³,25.0,22.0,17,5,25.0
Los Angeles - N. Mai,2024-03-01 18:00:00+00:00,58.895705521472394,343.680981595092,4.0,18.816155419222905,µg/m³,25.0,17.0,18,3,25.0
Los Angeles - N. Mai,2024-03-01 19:00:00+00:00,62.82208588957055,229.120654396728,3.3,18.816155419222905,µg/m³,27.0,14.0,18,2,27.0
Los Angeles - N. Mai,2024-03-01 20:00:00+00:00,66.74846625766872,229.120654396728,2.5,14.488439672801636,µg/m³,29.0,10.0,14,2,29.0
Los Angeles - N. Mai,2024-03-01 21:00:00+00:00,64.78527607361963,229.120654396728,3.5,16.93453987730061,µg/m³,28.0,15.0,16,2,28.0
Los Angeles - N. Mai,2024-03-01 22:00:00+00:00,66.74846625766872,229.120654396728,4.5,13.92395501022495,µg/m³,29.0,19.0,13,2,29.0
